/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
/docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-by-default.sh: info: can not modify /etc/nginx/conf.d/default.conf (read-only file system?)
/docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
/docker-entrypoint.sh: Configuration complete; ready for start up
2025/12/22 10:02:16 [notice] 1#1: using the "epoll" event method
2025/12/22 10:02:16 [notice] 1#1: nginx/1.29.4
2025/12/22 10:02:16 [notice] 1#1: built by gcc 14.2.0 (Debian 14.2.0-19) 
2025/12/22 10:02:16 [notice] 1#1: OS: Linux 6.8.0-90-generic
2025/12/22 10:02:16 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2025/12/22 10:02:16 [notice] 1#1: start worker processes
2025/12/22 10:02:16 [notice] 1#1: start worker process 21
2025/12/22 10:02:16 [notice] 1#1: start worker process 22
193.142.147.209 - - [22/Dec/2025:10:02:17 +0000] "POST / HTTP/1.1" 404 24 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36" "-"
172.18.0.1 - - [22/Dec/2025:10:04:12 +0000] "POST /realms/sealAI/protocol/openid-connect/token HTTP/1.1" 200 3454 "-" "node" "-"
93.245.170.76 - - [22/Dec/2025:10:04:12 +0000] "GET /api/auth/session HTTP/2.0" 200 2726 "https://sealai.net/chat/c1450dea-de12-47db-8abb-cd790a71d64a" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
172.18.0.1 - - [22/Dec/2025:10:04:12 +0000] "GET /realms/sealAI/protocol/openid-connect/certs HTTP/1.1" 200 2917 "-" "python-httpx/0.28.1" "-"
93.245.170.76 - - [22/Dec/2025:10:04:12 +0000] "GET /api/v1/langgraph/state?thread_id=thread-f24d4a85-302c-4337-9079-2d5eaf19bd9c HTTP/2.0" 200 385 "https://sealai.net/chat/c1450dea-de12-47db-8abb-cd790a71d64a" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:14 +0000] "GET /chat/c1450dea-de12-47db-8abb-cd790a71d64a HTTP/2.0" 200 4866 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:14 +0000] "GET /_next/static/chunks/31408947ac93d165.css HTTP/2.0" 200 10877 "https://sealai.net/chat/c1450dea-de12-47db-8abb-cd790a71d64a" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:14 +0000] "GET /_next/static/chunks/69aabb863e767b8b.css HTTP/2.0" 200 1322 "https://sealai.net/chat/c1450dea-de12-47db-8abb-cd790a71d64a" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:14 +0000] "GET /_next/static/chunks/6c7f6795521b5242.js HTTP/2.0" 200 5865 "https://sealai.net/chat/c1450dea-de12-47db-8abb-cd790a71d64a" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:14 +0000] "GET /_next/static/chunks/112f346e31f991df.js HTTP/2.0" 200 9011 "https://sealai.net/chat/c1450dea-de12-47db-8abb-cd790a71d64a" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:14 +0000] "GET /_next/static/chunks/e3583b042deb3c98.js HTTP/2.0" 200 22865 "https://sealai.net/chat/c1450dea-de12-47db-8abb-cd790a71d64a" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
